"Name","Glottocode","Family_ID","Nominal_words_score","Verbal_score"
"Abkhaz","abkh1244","abkh1242",0.51,0.79
"Abun","abun1252","",0.28,0.47
"Achi","achi1256","maya1287",0.38,0.76
"Adang","adan1251","timo1261",0.28,0.6
"Afar","afar1241","afro1255",0.38,0.78
"Agob-Ende-Kawam","agob1244","paho1240",0.4,0.81
"Akabea","akab1249","grea1241",0.38,0.72
"Amarakaeri","amar1274","hara1260",0.4,0.74
"Ancient Greek","anci1242","indo1319",0.72,0.68
"Aneityum","anei1239","aust1307",0.5,0.59
"Araki","arak1252","aust1307",0.25,0.48
"Arapaho","arap1274","algi1248",0.26,0.83
"'Are'are","area1240","aust1307",0.3,0.69
"Argobba","argo1244","afro1255",0.56,0.62
"Atong (India)","aton1241","sino1245",0.33,0.58
"Au","auuu1241","nucl1708",0.16,0.52
"Awetí","awet1244","tupi1275",0.15,0.82
"Axamb","axam1237","aust1307",0.43,0.71
"Baima","baim1244","sino1245",0.05,0.49
"Paluai","balu1257","aust1307",0.35,0.59
"Barok","baro1253","aust1307",0.35,0.8
"Riuk Bekati'","beka1241","aust1307",0.35,0.65
"Shidong Biao","biao1253","taik1256",0.13,0.45
"Bimin","bimi1240","nucl1709",0.46,0.78
"Bola","bola1250","aust1307",0.3,0.71
"Bororo","boro1282","boro1281",0.28,0.53
"Bugan","buga1247","aust1305",0.05,0.49
"Bumthangkha","bumt1240","sino1245",0.45,0.44
"Burji","burj1242","afro1255",0.7,0.78
"Burunge","buru1320","afro1255",0.24,0.7
"Car Nicobarese","carn1240","aust1305",0.28,0.74
"Cemuhî","cemu1238","aust1307",0.51,0.7
"Chaldean Neo-Aramaic","chal1275","afro1255",0.6,0.76
"Chamorro","cham1312","aust1307",0.22,0.76
"Chipewyan","chip1261","atha1245",0.1,0.81
"Chong of Chanthaburi","chon1284","aust1305",0.03,0.47
"Chuj","chuj1250","maya1287",0.21,0.78
"Chukchi","chuk1273","chuk1271",0.38,0.82
"Chuvash","chuv1255","turk1311",0.42,0.68
"Coptic","copt1239","afro1255",0.49,0.44
"Cowlitz","cowl1242","sali1255",0.41,0.74
"Crimean Tatar","crim1257","turk1311",0.45,0.7
"Crow","crow1244","siou1252",0.35,0.93
"Czech","czec1258","indo1319",0.52,0.7
"Dakaka","daka1243","aust1307",0.45,0.44
"Dazaga","daza1242","saha1256",0.45,0.55
"Degema","dege1246","atla1278",0.2,0.68
"Digo","digo1243","atla1278",0.34,0.88
"Dimasa","dima1251","sino1245",0.35,0.57
"Jaminjung-Ngaliwurru","djam1255","mirn1241",0.42,0.68
"Djeebbana","djee1236","mani1293",0.49,0.74
"Dusner","dusn1237","aust1307",0.38,0.21
"Eastern Lawa","east2330","aust1305",0.03,0.55
"Eastern Kayah","east2342","sino1245",0.03,0.52
"East Kewa","east2516","nucl1709",0.5,0.82
"Emai-Iuleha-Ora","emai1241","atla1278",0.28,0.55
"Enu","enuu1235","sino1245",0.03,0.42
"Estonian","esto1258","ural1272",0.25,0.67
"Eyak","eyak1241","atha1245",0.39,0.68
"Faroese","faro1244","indo1319",0.62,0.68
"Finnish","finn1318","ural1272",0.45,0.57
"Fur","furr1244","fura1235",0.35,0.57
"Futuna-Aniwa","futu1245","aust1307",0.58,0.58
"Gayo","gayo1244","aust1307",0.15,0.64
"Geba Karen","geba1237","sino1245",0.23,0.57
"Gheg Albanian","gheg1238","indo1319",0.47,0.69
"Ha","haaa1252","atla1278",0.29,0.81
"Hadza","hadz1240","",0.32,0.68
"Halkomelem","halk1245","sali1255",0.4,0.72
"Herero","here1253","atla1278",0.34,0.79
"Huastec","huas1242","maya1287",0.28,0.79
"Huichol","huic1243","utoa1244",0.32,0.93
"Iatmul","iatm1242","nduu1242",0.44,0.78
"Icelandic","icel1247","indo1319",0.65,0.65
"Iduna","idun1242","aust1307",0.32,0.78
"Ingrian","ingr1248","ural1272",0.45,0.55
"Irish","iris1253","indo1319",0.64,0.63
"Itzá","itza1241","maya1287",0.44,0.78
"Kachama-Ganjule-Haro","kach1284","gong1255",0.66,0.7
"Kagulu","kagu1239","atla1278",0.14,0.79
"Kaike","kaik1246","sino1245",0.4,0.74
"Kalaallisut","kala1399","eski1264",0.35,0.87
"Oirad-Kalmyk-Darkhat","kalm1243","mong1349",0.32,0.61
"Karelian","kare1335","ural1272",0.45,0.55
"Kashmiri","kash1277","indo1319",0.46,0.78
"Katso","kats1235","sino1245",0.05,0.52
"Kayan Lahwi","kaya1315","sino1245",0.15,0.39
"Ket","kett1243","yeni1252",0.43,0.82
"Khasi","khas1269","aust1305",0.24,0.59
"Kinnauri","kinn1249","sino1245",0.38,0.8
"Kombai","komb1274","nucl1709",0.1,0.71
"Koorete","koor1239","gong1255",0.54,0.7
"Korean","kore1280","kore1284",0.3,0.68
"Koromfé","koro1298","atla1278",0.39,0.47
"Kuku-Yalanji","kuku1273","pama1250",0.38,0.53
"Nêlêmwa-Nixumwak","kuma1276","aust1307",0.34,0.63
"Kunbarlang","kunb1251","gunw1250",0.31,0.75
"Kwara'ae","kwar1239","aust1307",0.25,0.68
"Kxoe","kxoe1243","khoe1240",0.51,0.64
"Lamaholot","lama1277","aust1307",0.23,0.45
"Latin","lati1261","indo1319",0.52,0.68
